Assets Type,Path,Tag
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Ban_Yuan_Jian/Woodruff keys GB_converted,Woodruff Key
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Hua_Jian/Straight-sided spline GB_converted,Spline Key
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Ping_Jian/Feather keys GB_converted,Flat Key
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Ping_Jian/Plain parallel keys_converted,Flat Key
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Ping_Jian/Thin flat keys GB_converted,Flat Key
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Ping_Jian/Thin key_GB_converted,Flat Key
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Qie_Xiang_Jian/chip key GB_converted,Tangent Key
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Qie_Xiang_Jian/press chip key GB_converted,Tangent Key
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Xie_Jian/Gib-head taper keys GB_converted,Taper Key
Part,/media/simple/another_Documents/isaacsim_assets/obj-20260107/_Xie_Jian/Taper keys for general use GB_converted,Taper Key
